author,orcid,affiliation,affiliation_type,country,paper_title,paper_year,paper_doi,paper_venue,author_position,topic_query,n_relevant_papers,industry_flag,score,query_class,tier,product_line,asset,hook,affil_suspect,affil_suspect_reason,export_review,export_note
"Quni-Gudzinas, Rowan Brad",0009-0002-4317-5604,Q-Flex (United States),industry,US,CRYOGENICALLY STABILIZED SYNTHETIC LATTICE ARCHITECTURE FOR FAULT-TOLERANT QUANTUM COMPUTING,2026,https://doi.org/10.5281/zenodo.17709213,Zenodo (CERN European Organization for Nuclear Research),first,diamond heat spreader,2,1,44,core,T1,UHP-and-engineered-SCD,A6,,N,,FALSE,
Ziling Cai,0009-0007-7945-998X,Fudan University,academic,CN,Interfacial Engineering toward Ultralow Thermal Boundary Resistance at Metal–Semiconductor Contacts,2026,https://doi.org/10.1021/acs.nanolett.5c05501,Nano Letters,first,thermal boundary resistance GaN,2,0,44,displacement,T3,NONE,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Nan Wu,0000-0003-4295-5473,General Research Institute for Nonferrous Metals (China),industry,CN,Subcooled flow boiling in diamond/Cu microchannel heat sinks for near-junction chip cooling,2025,https://doi.org/10.1016/j.csite.2025.105981,Case Studies in Thermal Engineering,first,diamond thermal conductivity substrate,2,1,44,core,T1,GaN-on-diamond,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Seokjun Kim,0000-0001-6148-6567,Pennsylvania State University,academic,US,Thermal Characterization and Design of AlN/GaN/AlN HEMTs on Foreign Substrates,2025,https://doi.org/10.1109/led.2025.3548853,IEEE Electron Device Letters,first,GaN diamond thermal,2,0,44,core,T3,NONE,A1,,N,,FALSE,
Shijie Du,0009-0002-6899-3523,General Research Institute for Nonferrous Metals (China),industry,CN,Subcooled flow boiling in diamond/Cu microchannel heat sinks for near-junction chip cooling,2025,https://doi.org/10.1016/j.csite.2025.105981,Case Studies in Thermal Engineering,last,diamond thermal conductivity substrate,2,1,44,core,T1,GaN-on-diamond,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Tiantian Luan,,Fudan University,academic,CN,Nano‐Scale Phonon Dynamics in GaN: Fundamentals and Strategies for Thermal Transport Modulation,2025,https://doi.org/10.1002/aelm.202500627,Advanced Electronic Materials,first,thermal boundary resistance GaN,2,0,44,displacement,T3,NONE,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Wenhao Li,0000-0003-3434-9705,Intel (United Kingdom),industry,GB,Cold Sprayed Copper-Diamond Composites for Thermal Management of Semiconductor Packages,2025,https://doi.org/10.4071/001c.128390,IMAPSource Proceedings,first,diamond thermal conductivity substrate,2,1,44,core,T1,copper-diamond-composite,NONE,,N,,FALSE,
Xiaoyang Ji,0000-0002-7263-7014,University of Bristol,academic,GB,Thermal Boundary Resistance Reduction by Interfacial Nanopatterning for GaN-on-Diamond Electronics Applications,2025,https://doi.org/10.1021/acsaelm.5c00119,ACS Applied Electronic Materials,first,diamond thermal conductivity substrate,2,0,44,core,T3,GaN-on-diamond,NONE,,N,,FALSE,
Zonghui Su,,Harbin Institute of Technology,academic,CN,Enhanced thermal conductivity and thermal shock resistance in diamond/copper composites through diamond surface etching,2025,https://doi.org/10.1016/j.matlet.2025.138229,Materials Letters,first,copper diamond composite,2,0,44,core,T3,NONE,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Mohamadali Malakoutian,0000-0002-5760-0408,"Standford University, Stanford, CA, USA",academic,,Enhanced Thermal Management in GaN Superlattice Castellated Field Effect Transistors,2026,https://doi.org/10.1109/led.2026.3696134,IEEE Electron Device Letters,middle,GaN diamond thermal,5,0,40,core,T4,NONE,NONE,,N,,FALSE,
Kelly Woo,0000-0002-8820-7975,Stanford University,academic,US,Optimization Factors for the Thermal Design of Packaged GaN High-Electron-Mobility Transistors,2026,https://doi.org/10.1109/ted.2026.3667665,IEEE Transactions on Electron Devices,middle,diamond heat spreader,4,0,40,core,T4,NONE,NONE,,N,,FALSE,
Daquan Yu,0000-0001-8065-2612,Xiamen University of Technology,academic,CN,Heterogeneous Integration of Diamond-on-Chip-on-Glass Interposer for Efficient Thermal Management,2024,https://doi.org/10.1109/led.2024.3351990,IEEE Electron Device Letters,last,diamond heat spreader,2,0,36,core,T3,NONE,A2,,N,,TRUE,affiliation country China: human export review required before any contact
Jinchi Sun,0000-0001-5909-7052,University of Illinois Urbana-Champaign,academic,US,Probe beam deflection technique with liquid immersion for fast mapping of thermal conductance,2024,https://doi.org/10.1063/5.0179581,Applied Physics Letters,first,diamond thermal conductivity substrate,2,0,36,core,T3,NONE,NONE,,N,,FALSE,
Liwen Sang,0000-0003-0946-1025,Fudan University,academic,CN,AlN as interlayer for effective thermal dissipation from gallium nitride to CVD diamond using nanocrystalline diamond seeding,2024,https://doi.org/10.1002/ifm2.26,Information & Functional Materials,first,diamond heat spreader,2,0,36,core,T3,NONE,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Yi Zhong,0009-0003-0637-0985,Xiamen University of Technology,academic,CN,Heterogeneous Integration of Diamond-on-Chip-on-Glass Interposer for Efficient Thermal Management,2024,https://doi.org/10.1109/led.2024.3351990,IEEE Electron Device Letters,first,diamond heat spreader,2,0,36,core,T3,NONE,A2,,N,,TRUE,affiliation country China: human export review required before any contact
Yoshihiro TOMITA,,Intel (United Kingdom),industry,GB,Cold Sprayed Copper-Diamond Composites for Thermal Management of Semiconductor Packages,2024,https://doi.org/10.4071/001c.124091,Journal of Microelectronics and Electronic Packaging,last,diamond thermal conductivity substrate,2,1,36,core,T1,copper-diamond-composite,NONE,,N,,FALSE,
A. Bruschi,0000-0002-0139-6401,Institute for the Science and Technology of Plasmas,academic,IT,Challenges of the DTT ECH Launchers and Options Under Study,2026,https://doi.org/10.1109/tps.2026.3692783,IEEE Transactions on Plasma Science,first,power module baseplate thermal,1,0,36,displacement,T3,NONE,NONE,,N,,FALSE,
Abtin Ataei,0000-0002-1887-9522,Sax Institute,academic,AU,Unified Parametric Optimization Framework for Microchannel Fin Geometries in High-Power Processor Cooling,2026,https://doi.org/10.3390/mi17010086,Micromachines,first,diamond heat spreader,1,0,36,core,T3,NONE,NONE,,N,,FALSE,
Ahmed H. Okilly,0000-0003-2009-9004,Korea University of Technology and Education,academic,KR,Thermal-Stress-Induced Degradation Monitoring and Deep-Neural-Network-Driven Lifetime Prediction of IGBT Modules in a Two-Level SVPWM Inverter,2026,https://doi.org/10.3390/electronics15081678,Electronics,first,IGBT module thermal fatigue,1,0,36,displacement,T3,copper-diamond-composite,A4,,N,,FALSE,
Andrew C. Chang,,Jiangsu Maritime Institute,academic,CN,"Microscopic Mechanism of Glass Surface Activation, Annealing and Etching on Glass–Ti/Cu Interfacial Adhesion",2026,https://doi.org/10.3390/mi17070836,Micromachines,last,chiplet package thermal,1,0,36,displacement,T3,NONE,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
B. McPherson,,Arkansas Power Electronics International,industry,US,Packaging of High Temperature 50 kW SiC Motor Drive Modules for Hybrid-Electric Vehicles,2026,https://doi.org/10.4071/001c.162677,IMAPSource Proceedings,first,die attach thermal resistance,1,1,36,displacement,T4,NONE,A4,,N,,FALSE,
Biqi Cao,,Innovation Team (China),industry,CN,Enabling record-high heat flux in wide-bandgap electronics via in-chip microfluidic cooling on diamond substrates,2026,https://doi.org/10.1007/s11431-025-3150-x,Science China Technological Sciences,first,diamond heat spreader,1,1,36,core,T4,NONE,NONE,,Y,phantom institution: innovation team,TRUE,affiliation country China: human export review required before any contact
Bolotnikov Alexander,,BMI (South Korea),industry,KR,Electrical and Thermal Performance of SiC Wide-Bandgap Power Devices: Influence of Package Configuration,2026,https://doi.org/10.70322/ism.2026.10008,Intelligent and sustainable manufacturing,last,wide bandgap power device packaging,1,1,36,displacement,T4,NONE,NONE,,N,,FALSE,
Chao Yuan,0000-0003-3116-6049,Yangtze University,academic,CN,Simultaneous Measurement of the Thermal Boundary Resistance and Thermal Conductivity of Die-Attach Materials in Sandwich Structures via Multiwavelength Transient Thermoreflectance,2026,https://doi.org/10.1021/acsaelm.6c00280,ACS Applied Electronic Materials,last,die attach thermal resistance,1,0,36,displacement,T3,NONE,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Chao Yuan,,Wuhan University of Technology,academic,CN,Rapid Forecast of Device Transient Temperature Response at Wafer Level Through Transducer-Less Thermoreflectance Technique,2026,https://doi.org/10.1109/ted.2026.3669874,IEEE Transactions on Electron Devices,last,GaN HEMT thermal management,1,0,36,displacement,T3,polycrystalline-CVD-diamond-wafer,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Cheng Luo,0009-0004-0043-6215,Precision Research (United States),industry,US,Laser-Assisted Mass Transfer Technology for Microlight-Emitting Diodes,2026,https://doi.org/10.1007/s41871-025-00289-2,Nanomanufacturing and Metrology,first,laser diode thermal management,1,1,36,displacement,T4,NONE,NONE,,N,,FALSE,
Christopher Robben,0000-0002-9958-8312,University of Applied Sciences Wedel,academic,DE,Standard Testwork Methodologies for Sensor-Based Particle Ore Sorting Project Development and Process Optimization,2026,https://doi.org/10.3390/min16070678,Minerals,first,copper diamond composite,1,0,36,core,T3,NONE,NONE,,N,,FALSE,
David Sopp,,Siemens (Germany),industry,DE,Long term transformation of Cu / Sn intermetallic compounds in large solder joints,2026,https://doi.org/10.1016/j.microrel.2026.116082,Microelectronics Reliability,last,power module baseplate thermal,1,1,36,displacement,T4,NONE,NONE,,N,,FALSE,
David Turner,,North Island College,academic,CA,Standard Testwork Methodologies for Sensor-Based Particle Ore Sorting Project Development and Process Optimization,2026,https://doi.org/10.3390/min16070678,Minerals,last,copper diamond composite,1,0,36,core,T3,NONE,NONE,,N,,FALSE,
E. Zakel,,Optech (Canada),industry,CA,Wirebondability and Solderability of NiAu Electroless Front Side Metalized Silicon Wafers Subjected to High Temperature Back End Assembly Process Flows,2026,https://doi.org/10.4071/001c.164932,IMAPSource Proceedings,last,die attach thermal resistance,1,1,36,displacement,T4,NONE,NONE,,N,,FALSE,
F. Ren,0000-0001-9234-019X,University of Florida,academic,US,O2/Ar inductively coupled plasma etching of boron-doped single-crystal diamond,2026,https://doi.org/10.1116/6.0005496,Journal of Vacuum Science & Technology A Vacuum Surfaces and Films,last,diamond thermal conductivity substrate,1,0,36,core,T3,aluminum-diamond-composite,NONE,,N,,FALSE,
Fabio Zanon,0009-0007-2360-9221,Eni (Italy),industry,IT,Challenges of the DTT ECH Launchers and Options Under Study,2026,https://doi.org/10.1109/tps.2026.3692783,IEEE Transactions on Plasma Science,last,power module baseplate thermal,1,1,36,displacement,T4,NONE,NONE,,N,,FALSE,
Gang Yuan,0000-0002-7043-925X,Central South University,academic,CN,Synergistic optimization of plasma uniformity and active species density in MPCVD systems: A study based on multiphysics simulation and response surface methodology,2026,https://doi.org/10.1016/j.vacuum.2026.115568,Vacuum,first,single crystal diamond MPCVD,1,0,36,core,T3,single-crystal-CVD-diamond-plate,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Gaofeng Wang,,Zhejiang University,academic,CN,Effect of coupled/decoupled turbine guide vanes on reverse-flow combustor and mechanisms of bend-induced hot-streak bias,2026,https://doi.org/10.1016/j.ast.2026.112490,Aerospace Science and Technology,last,near-junction thermal management,1,0,36,displacement,T3,NONE,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Guo Qi Zhang,,Delft University of Technology,academic,NL,Co-packaged electronics with microfluidics for direct-to-package cooling,2026,https://doi.org/10.1038/s44172-026-00620-9,Communications Engineering,last,chiplet package thermal,1,0,36,displacement,T3,NONE,NONE,,N,,FALSE,
Haiying Li,,Guizhou University,academic,CN,Battery-like asymmetric supercapacitors from vertically aligned Ni5P4/Ni2P nanosheets coated conductive diamond: Design and demonstrator,2026,https://doi.org/10.1016/j.est.2026.123764,Journal of Energy Storage,first,diamond thermal conductivity substrate,1,0,36,core,T3,NONE,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Haksoon Jung,0000-0003-1567-692X,Ulsan National Institute of Science and Technology,academic,KR,"Advances and Future Challenges in Monolithic 3D Integrated Logic, Power, and Optoelectronics Technologies for Tightly Interconnected Intelligent Systems",2026,https://doi.org/10.1021/acsnano.5c15601,ACS Nano,first,laser diode thermal management,1,0,36,displacement,T3,polycrystalline-CVD-diamond-wafer,A2,,N,,FALSE,
Hanwen Cui,,Wuhan University of Technology,academic,CN,"Wafer Warpage of Silicon Interposer in Manufacturing Processes for High Density 2.5D Advanced Packaging: Causes, Measurement, Analysis and Optimization",2026,https://doi.org/10.1016/j.fmre.2026.05.008,Fundamental Research,first,chiplet package thermal,1,0,36,displacement,T3,polycrystalline-CVD-diamond-wafer,A2,,N,,TRUE,affiliation country China: human export review required before any contact
Henry Martin,0000-0002-2891-3253,Patrick Henry Community College,academic,US,Co-packaged electronics with microfluidics for direct-to-package cooling,2026,https://doi.org/10.1038/s44172-026-00620-9,Communications Engineering,first,chiplet package thermal,1,0,36,displacement,T3,NONE,NONE,,N,,FALSE,
Hongda Zhu,,Harbin Institute of Technology,academic,CN,Modeling optimization and experimental verification of inch-scale heteroepitaxial single-crystal diamond nucleation with 915 MHz MPCVD,2026,https://doi.org/10.1016/j.vacuum.2026.115618,Vacuum,first,single crystal diamond MPCVD,1,0,36,core,T3,single-crystal-CVD-diamond-plate,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Hsiao-Hsuan Wan,0000-0002-6986-8217,University of Florida,academic,US,O2/Ar inductively coupled plasma etching of boron-doped single-crystal diamond,2026,https://doi.org/10.1116/6.0005496,Journal of Vacuum Science & Technology A Vacuum Surfaces and Films,first,diamond thermal conductivity substrate,1,0,36,core,T3,aluminum-diamond-composite,NONE,,N,,FALSE,
Huarui Sun,0000-0003-1429-0611,Shanxi University,academic,CN,Extracting deeply buried thermal resistance in Au/Au-bonded thick Si-on-diamond,2026,https://doi.org/10.1063/5.0314427,Applied Physics Letters,last,diamond heat spreader,1,0,36,core,T3,NONE,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
J F Xu,,Guizhou University,academic,CN,Battery-like asymmetric supercapacitors from vertically aligned Ni5P4/Ni2P nanosheets coated conductive diamond: Design and demonstrator,2026,https://doi.org/10.1016/j.est.2026.123764,Journal of Energy Storage,last,diamond thermal conductivity substrate,1,0,36,core,T3,NONE,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
J. A. Herbsommer,,Sony (Taiwan),industry,TW,Wirebondability and Solderability of NiAu Electroless Front Side Metalized Silicon Wafers Subjected to High Temperature Back End Assembly Process Flows,2026,https://doi.org/10.4071/001c.164932,IMAPSource Proceedings,first,die attach thermal resistance,1,1,36,displacement,T4,NONE,NONE,,N,,FALSE,
Jeihoon Baek,0000-0002-1186-3739,Korea University of Technology and Education,academic,KR,Thermal-Stress-Induced Degradation Monitoring and Deep-Neural-Network-Driven Lifetime Prediction of IGBT Modules in a Two-Level SVPWM Inverter,2026,https://doi.org/10.3390/electronics15081678,Electronics,last,IGBT module thermal fatigue,1,0,36,displacement,T3,copper-diamond-composite,A4,,N,,FALSE,
Jian Song,0009-0004-8612-5791,Zhejiang University,academic,CN,Effect of coupled/decoupled turbine guide vanes on reverse-flow combustor and mechanisms of bend-induced hot-streak bias,2026,https://doi.org/10.1016/j.ast.2026.112490,Aerospace Science and Technology,first,near-junction thermal management,1,0,36,displacement,T3,NONE,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Jian Wang,,Nanyang Technological University,academic,SG,Tremella‐Inspired Wrinkled 1T‐MoS <sub>2</sub> @BN for Efficient Thermal Management and Microwave Absorption,2026,https://doi.org/10.1002/adfm.75355,Advanced Functional Materials,first,near-junction thermal management,1,0,36,displacement,T3,NONE,NONE,,N,,FALSE,
Jiaqi Zhu,,Harbin Institute of Technology,academic,CN,High-temperature stable growth of thick polycrystalline diamond film on GaN enabled by a SiNx/Si double interlayer,2026,https://doi.org/10.1016/j.diamond.2026.113769,Diamond and Related Materials,last,diamond heat spreader,1,0,36,core,T3,polycrystalline-CVD-diamond-wafer,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Jia‐Yue Yang,0000-0002-3678-827X,University of Jinan,academic,CN,Tremella‐Inspired Wrinkled 1T‐MoS <sub>2</sub> @BN for Efficient Thermal Management and Microwave Absorption,2026,https://doi.org/10.1002/adfm.75355,Advanced Functional Materials,last,near-junction thermal management,1,0,36,displacement,T3,NONE,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Jie Wu,0000-0003-0943-9143,Nanjing University of Posts and Telecommunications,academic,CN,Research on Intelligent Thermal Optimization for Chiplet-Based Heterogeneously Integrated AI Chip Embedded with Leaf-Vein-Inspired Fractal Microchannels,2026,https://doi.org/10.3390/ma19040679,Materials,first,chiplet package thermal,1,0,36,displacement,T3,polycrystalline-CVD-diamond-wafer,A2,,N,,TRUE,affiliation country China: human export review required before any contact
Jie Zhou,0000-0003-1393-3662,University of Wisconsin–Madison,academic,US,Preliminary demonstration of diamond-GaN <i>p–n</i> diodes via grafting,2026,https://doi.org/10.1063/5.0309618,Applied Physics Letters,first,GaN diamond thermal,1,0,36,core,T3,NONE,NONE,,N,,FALSE,
Jinqiang Zhang,,Wind Power Engineering (Japan),industry,JP,High-efficiency power electronic devices based on wide-bandgap semiconductor materials,2026,https://doi.org/10.1007/s43236-026-01335-y,Journal of Power Electronics,first,wide bandgap power device packaging,1,1,36,displacement,T4,NONE,NONE,,N,,FALSE,
John Robinson,0000-0001-6858-2367,University of Wolverhampton,academic,GB,Process driven self-organisation in laser powder bed fusion of copper coated diamond,2026,https://doi.org/10.1016/j.diamond.2026.113591,Diamond and Related Materials,first,copper diamond composite,1,0,36,core,T3,NONE,NONE,,N,,FALSE,
JongSeon Park,,Advanced Laser Technology (United Kingdom),industry,GB,Thermal Optimization and Cooling-Channel Design for a 2-kW Fiber-Laser Cold Plate Considering Distributed Heat Sources and Mechanical Integration Constraints,2026,https://doi.org/10.9766/kimst.2026.29.4.423,Journal of the Korea Institute of Military Science and Technology,last,laser diode thermal management,1,1,36,displacement,T4,NONE,NONE,,N,,FALSE,
K. C. Sheng,,Innovation Team (China),industry,CN,Enabling record-high heat flux in wide-bandgap electronics via in-chip microfluidic cooling on diamond substrates,2026,https://doi.org/10.1007/s11431-025-3150-x,Science China Technological Sciences,last,diamond heat spreader,1,1,36,core,T4,NONE,NONE,,Y,phantom institution: innovation team,TRUE,affiliation country China: human export review required before any contact
Katsuaki Suganuma,0000-0003-2137-9905,The University of Osaka,academic,JP,Study on interfacial mechanism of Ag–Si immiscible sintering for robust migration inhibition,2026,https://doi.org/10.1016/j.matdes.2026.116125,Materials & Design,last,die attach thermal resistance,1,0,36,displacement,T3,NONE,NONE,,N,,FALSE,
Kentaro Nonaka,,NGK Spark Plug (Japan),industry,JP,Epitaxial growth and characterization of AlGaN/GaN HEMT structures on 4 inch directly bonded GaN/SiC substrates,2026,https://doi.org/10.35848/1347-4065/ae6c7c,Japanese Journal of Applied Physics,first,thermal boundary resistance GaN,1,1,36,displacement,T4,NONE,A1,,N,,FALSE,
Kexing Song,,Henan Academy of Sciences,academic,CN,Effect of carbide interface layer construction on the interface structure and thermal conductivity of diamond/copper composites,2026,https://doi.org/10.1016/j.ijrmhm.2026.107849,International Journal of Refractory Metals and Hard Materials,last,copper diamond composite,1,0,36,core,T3,NONE,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Kim Byongjin,,BMI (South Korea),industry,KR,Electrical and Thermal Performance of SiC Wide-Bandgap Power Devices: Influence of Package Configuration,2026,https://doi.org/10.70322/ism.2026.10008,Intelligent and sustainable manufacturing,first,wide bandgap power device packaging,1,1,36,displacement,T4,NONE,NONE,,N,,FALSE,
Kyounghoon Lee,0000-0002-3836-127X,Hyundai Research Institute,academic,KR,Thermal Optimization and Cooling-Channel Design for a 2-kW Fiber-Laser Cold Plate Considering Distributed Heat Sources and Mechanical Integration Constraints,2026,https://doi.org/10.9766/kimst.2026.29.4.423,Journal of the Korea Institute of Military Science and Technology,first,laser diode thermal management,1,0,36,displacement,T3,NONE,NONE,,N,,FALSE,
Li Ma,0000-0001-6003-1771,Central South University,academic,CN,Synergistic optimization of plasma uniformity and active species density in MPCVD systems: A study based on multiphysics simulation and response surface methodology,2026,https://doi.org/10.1016/j.vacuum.2026.115568,Vacuum,last,single crystal diamond MPCVD,1,0,36,core,T3,single-crystal-CVD-diamond-plate,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Liang Cao,0000-0001-7453-7060,Anhui University,academic,CN,Thermal-mechanical co-design and optimization of 2.5D chiplet integration,2026,https://doi.org/10.1016/j.microrel.2026.116156,Microelectronics Reliability,first,chiplet package thermal,1,0,36,displacement,T3,polycrystalline-CVD-diamond-wafer,A2,,N,,TRUE,affiliation country China: human export review required before any contact
Lin Gao,,Zhengzhou University of Aeronautics,academic,CN,"Effect of sintering temperature on the microstructure, composition, and heat transfer of the GaN/diamond interface",2026,https://doi.org/10.1016/j.ijheatmasstransfer.2026.128447,International Journal of Heat and Mass Transfer,last,GaN diamond thermal,1,0,36,core,T3,GaN-on-diamond,A1,,N,,TRUE,affiliation country China: human export review required before any contact
Liuchun Zheng,0000-0002-6538-4805,Tiangong University,academic,CN,Bicyclic Structure–Induced Crystallization Suppression in Bio‐Based Long‐Chain Polyamide Toward Simultaneous Toughening and High Optical Transparency,2026,https://doi.org/10.1002/pola.70205,Journal of Polymer Science,last,co-packaged optics thermal,1,0,36,displacement,T3,NONE,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Marta Rencz,0000-0003-4183-3853,Budapest University of Technology and Economics,academic,HU,Improved Thermal Transient Testing of Wide Bandgap Devices with Extremely Low Channel Resistance,2026,https://doi.org/10.3390/en19112678,Energies,last,wide bandgap power device packaging,1,0,36,displacement,T3,NONE,NONE,,N,,FALSE,
Martin Kuball,0000-0003-3070-1070,University of Bristol,academic,GB,Enhanced Thermal Management in GaN Superlattice Castellated Field Effect Transistors,2026,https://doi.org/10.1109/led.2026.3696134,IEEE Electron Device Letters,last,GaN diamond thermal,1,0,36,core,T3,NONE,NONE,,N,,FALSE,
Merouane Ouhab,,Mitsubishi Electric (France),industry,FR,Power Modules Lifetime Estimation Under Compound Tests,2026,https://doi.org/10.1109/tpel.2026.3688002,IEEE Transactions on Power Electronics,first,power module baseplate thermal,1,1,36,displacement,T2,copper-diamond-composite,A4,,N,,FALSE,
Minho Kim,0009-0001-4236-6794,Linköping University,academic,SE,Impact of AlN buffer thickness on electrical and thermal characteristics of AlGaN/GaN/AlN HEMTs,2026,https://doi.org/10.1063/5.0310464,Applied Physics Letters,first,GaN HEMT thermal management,1,0,36,displacement,T3,NONE,A1,,N,,FALSE,
Oluwarotimi Lawal,,University of Wolverhampton,academic,GB,Process driven self-organisation in laser powder bed fusion of copper coated diamond,2026,https://doi.org/10.1016/j.diamond.2026.113591,Diamond and Related Materials,last,copper diamond composite,1,0,36,core,T3,NONE,NONE,,N,,FALSE,
P. Dreher,,Siemens (Germany),industry,DE,Long term transformation of Cu / Sn intermetallic compounds in large solder joints,2026,https://doi.org/10.1016/j.microrel.2026.116082,Microelectronics Reliability,first,power module baseplate thermal,1,1,36,displacement,T4,NONE,NONE,,N,,FALSE,
Peng Hu,,Wind Power Engineering (Japan),industry,JP,High-efficiency power electronic devices based on wide-bandgap semiconductor materials,2026,https://doi.org/10.1007/s43236-026-01335-y,Journal of Power Electronics,last,wide bandgap power device packaging,1,1,36,displacement,T4,NONE,NONE,,N,,FALSE,
Peng Xu,,Wuhan University,academic,CN,Simultaneous Measurement of the Thermal Boundary Resistance and Thermal Conductivity of Die-Attach Materials in Sandwich Structures via Multiwavelength Transient Thermoreflectance,2026,https://doi.org/10.1021/acsaelm.6c00280,ACS Applied Electronic Materials,first,die attach thermal resistance,1,0,36,displacement,T3,NONE,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
