author,orcid,affiliation,affiliation_type,country,paper_title,paper_year,paper_doi,paper_venue,author_position,topic_query,n_relevant_papers,industry_flag,score
Felix Ejeckam,,Akash Systems,industry,,Thermal Boundary Resistance Reduction by Interfacial Nanopatterning for GaN-on-Diamond Electronics Applications,2025,https://doi.org/10.1021/acsaelm.5c00119,ACS Applied Electronic Materials,middle,GaN-on-diamond thermal management,1,1,56
Fengwen Mu,0000-0001-7396-9347,Tianjin Energy Investment Group (China),industry,CN,GaN HEMTs on 4H-SiC/Diamond Engineered Substrate With Enhanced Heat Dissipation,2025,https://doi.org/10.1109/led.2025.3635043,IEEE Electron Device Letters,middle,thermal boundary resistance GaN diamond,1,1,56
Hajo Frerichs,0000-0002-7661-8259,Quantum Design (Germany),industry,DE,Multi-Modal Approach for Quality Control and Failure Analysis of Metal Lines for Chiplets Integration,2025,https://doi.org/10.1093/mam/ozaf048.166,Microscopy and Microanalysis,middle,advanced packaging thermal resistance high power,1,1,56
Ichiro Kono,,Tokyo Electron (Japan),industry,JP,Panel Level Package: Reliability Evaluation of Double-sided Direct Copper Plated Interconnects on Embedded Power Die by Thermal and Electrical Stress Test,2025,https://doi.org/10.4071/001c.151188,IMAPSource Proceedings,middle,advanced packaging thermal resistance high power,1,1,56
Jeffrey LaRoche,,RTX (United States),industry,US,Interfacial Thermal Transport in Top-Side Diamond Integrated AlGaN/GaN High Electron Mobility Transistors,2025,https://doi.org/10.1021/acsami.5c13149,ACS Applied Materials & Interfaces,middle,thermal boundary resistance GaN diamond,1,1,56
Koji Iwabu,,Tokyo Electron (Japan),industry,JP,Panel Level Package: Reliability Evaluation of Double-sided Direct Copper Plated Interconnects on Embedded Power Die by Thermal and Electrical Stress Test,2025,https://doi.org/10.4071/001c.151188,IMAPSource Proceedings,middle,advanced packaging thermal resistance high power,1,1,56
Leslie Kim,,MacDermidAlpha Electronics Solutions,industry,,Copper Electroplating Process for mSAP in the Era of AI and HPC,2025,https://doi.org/10.4071/001c.140581,Journal of Microelectronics and Electronic Packaging,middle,advanced packaging thermal resistance high power,1,1,56
Lizheng Zhao,,China Electronics Technology Group Corporation,industry,CN,Design and Fabrication of Embedded Microchannel Cooling Solutions for High-Power-Density Semiconductor Devices,2025,https://doi.org/10.3390/mi16080908,Micromachines,middle,near-junction thermal management high power density,1,1,56
Maher Tahhan,0000-0003-4608-0926,RTX (United States),industry,US,Interfacial Thermal Transport in Top-Side Diamond Integrated AlGaN/GaN High Electron Mobility Transistors,2025,https://doi.org/10.1021/acsami.5c13149,ACS Applied Materials & Interfaces,middle,thermal boundary resistance GaN diamond,1,1,56
Matthew T. Dejarld,0009-0002-7789-7787,RTX (United States),industry,US,Interfacial Thermal Transport in Top-Side Diamond Integrated AlGaN/GaN High Electron Mobility Transistors,2025,https://doi.org/10.1021/acsami.5c13149,ACS Applied Materials & Interfaces,middle,thermal boundary resistance GaN diamond,1,1,56
Michihito Kawada,,Tokyo Electron (Japan),industry,JP,Panel Level Package: Reliability Evaluation of Double-sided Direct Copper Plated Interconnects on Embedded Power Die by Thermal and Electrical Stress Test,2025,https://doi.org/10.4071/001c.151188,IMAPSource Proceedings,middle,advanced packaging thermal resistance high power,1,1,56
Mingqi Huang,0000-0002-2920-722X,Shenzhen Metro (China),industry,CN,Laser-induced broad-spectrum strong absorption multiscale carbon-based nanofilms for photonic debonding based on the spatial confinement effect,2025,https://doi.org/10.1088/2631-7990/ae1db8,International Journal of Extreme Manufacturing,middle,advanced packaging thermal resistance high power,1,1,56
Satoru Kuramochi,,Dai Nippon Printing (Japan),industry,JP,Ultra-High Density RDL on Glass Core Substrate for Heterogenous Integration,2025,https://doi.org/10.4071/001c.129747,IMAPSource Proceedings,middle,advanced packaging thermal resistance high power,1,1,56
Sean Fleuriel,,MacDermidAlpha Electronics Solutions,industry,,Copper Electroplating Process for mSAP in the Era of AI and HPC,2025,https://doi.org/10.4071/001c.140581,Journal of Microelectronics and Electronic Packaging,middle,advanced packaging thermal resistance high power,1,1,56
See Chian lim,,DELO Industrial Adhesives,industry,,Adhesive Properties for Successful Photonic Packaging,2025,https://doi.org/10.4071/001c.154003,IMAPSource Proceedings,middle,advanced packaging thermal resistance high power,1,1,56
Sy Maddux,,MacDermidAlpha Electronics Solutions,industry,,Copper Electroplating Process for mSAP in the Era of AI and HPC,2025,https://doi.org/10.4071/001c.140581,Journal of Microelectronics and Electronic Packaging,middle,advanced packaging thermal resistance high power,1,1,56
Takashi Suzuki,,Tokyo Electron (Japan),industry,JP,Panel Level Package: Reliability Evaluation of Double-sided Direct Copper Plated Interconnects on Embedded Power Die by Thermal and Electrical Stress Test,2025,https://doi.org/10.4071/001c.151188,IMAPSource Proceedings,middle,advanced packaging thermal resistance high power,1,1,56
Tianyi Lu,0000-0001-8410-9051,China National Electric Apparatus Research Institute (China),industry,CN,Failure from Within: Volatiles from polymer aging trigger electronic corrosion,2025,https://doi.org/10.1016/j.polymdegradstab.2025.111779,Polymer Degradation and Stability,middle,advanced packaging thermal resistance high power,1,1,56
Vito Lin,,Siliconware Precision Industries (Taiwan),industry,TW,Thermal Performance of High Thermal Conductivity TIM for Large Advanced Package through TTV Measurement and FEM Analysis Approach,2025,https://doi.org/10.4071/001c.147482,IMAPSource Proceedings,middle,advanced packaging thermal resistance high power,1,1,56
W. K. Neils,0009-0002-0238-4442,Quantum Design (United States),industry,US,Multi-Modal Approach for Quality Control and Failure Analysis of Metal Lines for Chiplets Integration,2025,https://doi.org/10.1093/mam/ozaf048.166,Microscopy and Microanalysis,middle,advanced packaging thermal resistance high power,1,1,56
Xin Tina Guo,,DELO Industrial Adhesives,industry,,Adhesive Properties for Successful Photonic Packaging,2025,https://doi.org/10.4071/001c.154003,IMAPSource Proceedings,middle,advanced packaging thermal resistance high power,1,1,56
Yuki Matsue,,Tokyo Electron (Japan),industry,JP,Panel Level Package: Reliability Evaluation of Double-sided Direct Copper Plated Interconnects on Embedded Power Die by Thermal and Electrical Stress Test,2025,https://doi.org/10.4071/001c.151188,IMAPSource Proceedings,middle,advanced packaging thermal resistance high power,1,1,56
Yu‐Chen Liu,0000-0002-2750-0182,ON Semiconductor (United States),industry,US,Sonochemical Synthesis of Submicrometer Ga-Based Particles for Cu-to-Cu Interconnection,2025,https://doi.org/10.1021/acsaelm.5c01346,ACS Applied Electronic Materials,middle,advanced packaging thermal resistance high power,1,1,56
Zhe Cheng,0000-0001-7827-2979,Integrated Optoelectronics (Norway),industry,NO,Direct Integration of Polycrystalline Diamond With 3C‐SiC for Enhanced Thermal Management in GaN HEMTs: Impact of Grain Structure and Interface Engineering,2025,https://doi.org/10.1002/admt.202500437,Advanced Materials Technologies,middle,GaN-on-diamond thermal management,1,1,56
Zhongkun Lin,,Toshima Manufacturing (Japan),industry,JP,Transient liquid phase sintering with nanophase reinforcement enables silver joints with low thermal resistance and high shear strength,2025,https://doi.org/10.1016/j.intermet.2025.109059,Intermetallics,middle,advanced packaging thermal resistance high power,1,1,56
Zifeng Huang,0009-0005-7397-9963,Integrated Optoelectronics (Norway),industry,NO,Direct Integration of Polycrystalline Diamond With 3C‐SiC for Enhanced Thermal Management in GaN HEMTs: Impact of Grain Structure and Interface Engineering,2025,https://doi.org/10.1002/admt.202500437,Advanced Materials Technologies,middle,GaN-on-diamond thermal management,1,1,56
Qiang Li,0000-0002-4255-4832,Nanjing University of Information Science and Technology,academic,CN,Effect of interlayer material and thickness on interfacial thermal transport on GaN/diamond heterostructures,2026,https://doi.org/10.1016/j.ijthermalsci.2026.111209,International Journal of Thermal Sciences,last,thermal boundary resistance GaN diamond,3,0,52
Yunfei Song,0000-0002-6138-9000,Wuhan University of Technology,academic,CN,Near-junction thermal management for GaN/diamond HEMTs in extreme environments based on multiscale thermal simulation,2026,https://doi.org/10.1016/j.icheatmasstransfer.2026.111225,International Communications in Heat and Mass Transfer,first,GaN-on-diamond thermal management,3,0,52
francis lee,0009-0009-8615-4978,,unknown,,mnemorphics,2026,https://doi.org/10.5281/zenodo.21725591,Zenodo (CERN European Organization for Nuclear Research),first,advanced packaging thermal resistance high power,3,0,52
Xiaohang Li,0000-0002-4434-365X,King Abdullah University of Science and Technology,academic,SA,Progresses and Frontiers in Ultrawide Bandgap Semiconductors,2025,https://doi.org/10.1002/aelm.202400934,Advanced Electronic Materials,last,GaN-on-diamond thermal management,3,0,52
Fangmin Shi,,"Jiangsu GTIC Microelectronics Company Ltd., Wuxi, China",industry,,Advanced Packaging Technology of GaN HEMT Module for High-Power and High-Frequency Applications: A Review,2024,https://doi.org/10.1109/tcpmt.2024.3447079,IEEE Transactions on Components Packaging and Manufacturing Technology,middle,advanced packaging thermal resistance high power,1,1,48
