author,orcid,affiliation,affiliation_type,country,paper_title,paper_year,paper_doi,paper_venue,author_position,topic_query,n_relevant_papers,industry_flag,score
Louisa Wong,,Manufacturing Technology Centre (United Kingdom),industry,GB,Exploring the efficacy of water jet guided laser for cutting of tungsten carbide backed polycrystalline diamond,2025,https://doi.org/10.1007/s00170-025-16387-w,The International Journal of Advanced Manufacturing Technology,first,diamond thermal conductivity substrate,1,1,76
M. Danner,,EV Group (Austria),industry,AT,Low temperature bonding of diamond heat spreaders for advanced thermal management,2025,https://doi.org/10.35848/1347-4065/adc699,Japanese Journal of Applied Physics,first,diamond heat spreader,1,1,76
Masaya Tanaka,0000-0002-7873-1749,Dai Nippon Printing (Japan),industry,JP,Ultra-High Density RDL on Glass Core Substrate for Heterogenous Integration,2025,https://doi.org/10.4071/001c.129747,IMAPSource Proceedings,last,chiplet package thermal,1,1,76
Matthew J. Dejneka,,Corning (United States),industry,US,Optical Design and Applications for Ion-Exchanged Glass Waveguide Circuits,2025,https://doi.org/10.1109/tcpmt.2025.3526500,IEEE Transactions on Components Packaging and Manufacturing Technology,last,co-packaged optics thermal,1,1,76
Mei-Chien Lu,0000-0003-4412-0752,EA Technology,industry,GB,Manufacturing Challenges of Hybrid Bonding for Chiplets Heterogenerous Integration,2025,https://doi.org/10.1115/1.4068767,Journal of Electronic Packaging,first,chiplet package thermal,1,1,76
Naiqian Zhang,,Dynavax Technologies (Germany),industry,DE,Thermal and microwave performance enhancement of AlGaN/GaN HEMT using an ultra-thin buffer on Si substrate for handset applications,2025,https://doi.org/10.1063/5.0300018,Applied Physics Letters,last,thermal boundary resistance GaN,1,1,76
Nils Zöllner,,Infineon Technologies (Germany),industry,DE,Lifetime prediction for power modules in wind-energy converters based on temperature variations in a large area substrate solder connection,2025,https://doi.org/10.1016/j.microrel.2025.115665,Microelectronics Reliability,first,power module baseplate thermal,1,1,76
Raja Swaminathan,,Advanced Micro Devices (Canada),industry,CA,Heterogenous Integration in High Volume: Now and Looking Forward,2025,https://doi.org/10.4071/001c.147811,IMAPSource Proceedings,last,chiplet package thermal,1,1,76
Shane Lin,,Siliconware Precision Industries (Taiwan),industry,TW,Using FEM Simulation to Predict the Mechanical and Thermal Performance of FO-EB-T Package,2025,https://doi.org/10.4071/001c.129749,IMAPSource Proceedings,first,chiplet package thermal,1,1,76
Stefano Spagna,0000-0002-2727-7718,Quantum Design (United States),industry,US,Multi-Modal Approach for Quality Control and Failure Analysis of Metal Lines for Chiplets Integration,2025,https://doi.org/10.1093/mam/ozaf048.166,Microscopy and Microanalysis,last,chiplet package thermal,1,1,76
Sundar Marimuthu,0000-0003-4109-9273,Manufacturing Technology Centre (United Kingdom),industry,GB,Exploring the efficacy of water jet guided laser for cutting of tungsten carbide backed polycrystalline diamond,2025,https://doi.org/10.1007/s00170-025-16387-w,The International Journal of Advanced Manufacturing Technology,last,diamond thermal conductivity substrate,1,1,76
Sunil Priyadarshi,,Arista (United States),industry,US,Unlocking the Potential of Co-Packaged Optics in AI and HPC: Opportunities and Challenges,2025,https://doi.org/10.1109/mcom.001.2500504,IEEE Communications Magazine,first,co-packaged optics thermal,1,1,76
Takamasa Takano,,Dai Nippon Printing (Japan),industry,JP,Ultra-High Density RDL on Glass Core Substrate for Heterogenous Integration,2025,https://doi.org/10.4071/001c.129747,IMAPSource Proceedings,first,chiplet package thermal,1,1,76
Thomas Wassick,,IBM,industry,,Reliable Direct Bonded Heterogeneous Integration (DBHi) for AI Hardware,2025,https://doi.org/10.4071/001c.128330,IMAPSource Proceedings,last,chiplet package thermal,1,1,76
Tunan Sun,,"State Key Laboratory of Fabrication Technologies for Integrated Circuits, Beijing, China",industry,,Two-Dimensional Thermal-Induced Warpage Prediction for Multi-Chiplet Heterogeneous Integration System in Advanced Packaging,2025,https://doi.org/10.1109/tcpmt.2025.3561419,IEEE Transactions on Components Packaging and Manufacturing Technology,last,chiplet package thermal,1,1,76
VenkataVaraha Chakravarthy Kanumetta,,"Independent Researcher ., USA",industry,,Design Verification of Multi-Chiplet AI Accelerators: Challenges and Solutions,2025,https://doi.org/10.22399/ijcesen.4357,International Journal of Computational and Experimental Science and Engineering,first,chiplet package thermal,1,1,76
William Lambert,,Advanced Micro Devices (Canada),industry,CA,Heterogenous Integration in High Volume: Now and Looking Forward,2025,https://doi.org/10.4071/001c.147811,IMAPSource Proceedings,first,chiplet package thermal,1,1,76
Woopoung Kim,,Samsung (United States),industry,US,Heterogeneous Packaging Technologies for Chiplet and Memory Integration,2025,https://doi.org/10.4071/001c.129076,IMAPSource Proceedings,last,chiplet package thermal,1,1,76
Y.B. Jang,0000-0002-3535-5042,Mando Corporation (South Korea),industry,KR,Thermo-electrical reliability of power MOSFETs influenced by packaging architecture in stack-die and single-die configurations,2025,https://doi.org/10.1016/j.microrel.2025.115831,Microelectronics Reliability,first,wide bandgap power device packaging,1,1,76
Y.P. Wang,,Siliconware Precision Industries (Taiwan),industry,TW,Using FEM Simulation to Predict the Mechanical and Thermal Performance of FO-EB-T Package,2025,https://doi.org/10.4071/001c.129749,IMAPSource Proceedings,last,chiplet package thermal,1,1,76
Yan Li,0000-0002-0640-1783,Samsung (United States),industry,US,Heterogeneous Packaging Technologies for Chiplet and Memory Integration,2025,https://doi.org/10.4071/001c.129076,IMAPSource Proceedings,first,chiplet package thermal,1,1,76
Yan Li,,Samsung (South Korea),industry,KR,Material Property Simulation for Advanced Packaging,2025,https://doi.org/10.4071/001c.153880,IMAPSource Proceedings,first,chiplet package thermal,1,1,76
Yangang Wang,0000-0002-1325-9252,Dynex Semiconductor (United Kingdom),industry,GB,Modelling the fatigue damage in power components using machine learning technology,2025,https://doi.org/10.1016/j.pedc.2025.100079,Power Electronic Devices and Components,last,IGBT module thermal fatigue,1,1,76
Yaohui Xue,,Modern Electron (United States),industry,US,Research progress in interface optimization and preparation technology of high thermal conductivity diamond/copper composite materials,2025,https://doi.org/10.3389/fmats.2025.1582990,Frontiers in Materials,first,copper diamond composite,1,1,76
Yoshiaki Aizawa,,Tokyo Electron (Japan),industry,JP,Panel Level Package: Reliability Evaluation of Double-sided Direct Copper Plated Interconnects on Embedded Power Die by Thermal and Electrical Stress Test,2025,https://doi.org/10.4071/001c.151188,IMAPSource Proceedings,last,die attach thermal resistance,1,1,76
Yu-Tao Yang,0000-0003-2313-7790,MediaTek (China),industry,CN,Heterogeneous Integration in Co-Packaged Optics,2025,https://doi.org/10.1109/jetcas.2025.3590744,IEEE Journal on Emerging and Selected Topics in Circuits and Systems,first,co-packaged optics thermal,1,1,76
В.В. Локшин,,Поволжский государственный технологический университет (г. Йошкар-Ола),industry,,Электроискровое упрочнение режущих кромок инструментов,2025,https://doi.org/10.25686/2542-114x.2025.3.75,Вестник Поволжского государственного технологического университета.,last,diamond thermal conductivity substrate,1,1,76
И.С. Патерюхин,,Поволжский государственный технологический университет (г. Йошкар-Ола),industry,,Электроискровое упрочнение режущих кромок инструментов,2025,https://doi.org/10.25686/2542-114x.2025.3.75,Вестник Поволжского государственного технологического университета.,first,diamond thermal conductivity substrate,1,1,76
Bill Zivasatienraj,0000-0002-0522-4869,BAE Systems (United States),industry,US,Optimization Factors for the Thermal Design of Packaged GaN High-Electron-Mobility Transistors,2026,https://doi.org/10.1109/ted.2026.3667665,IEEE Transactions on Electron Devices,middle,diamond heat spreader,3,1,72
Isaac Wildeson,,BAE Systems (United States),industry,US,Optimization Factors for the Thermal Design of Packaged GaN High-Electron-Mobility Transistors,2026,https://doi.org/10.1109/ted.2026.3667665,IEEE Transactions on Electron Devices,middle,diamond heat spreader,3,1,72
Eduardo M. Chumbes,0009-0001-2013-7747,RTX (United States),industry,US,Interfacial Thermal Transport in Top-Side Diamond Integrated AlGaN/GaN High Electron Mobility Transistors,2025,https://doi.org/10.1021/acsami.5c13149,ACS Applied Materials & Interfaces,middle,diamond heat spreader,3,1,72
Jeffrey LaRoche,,RTX (United States),industry,US,Interfacial Thermal Transport in Top-Side Diamond Integrated AlGaN/GaN High Electron Mobility Transistors,2025,https://doi.org/10.1021/acsami.5c13149,ACS Applied Materials & Interfaces,middle,diamond heat spreader,3,1,72
Maher Tahhan,0000-0003-4608-0926,RTX (United States),industry,US,Interfacial Thermal Transport in Top-Side Diamond Integrated AlGaN/GaN High Electron Mobility Transistors,2025,https://doi.org/10.1021/acsami.5c13149,ACS Applied Materials & Interfaces,middle,diamond heat spreader,3,1,72
Matthew T. Dejarld,0009-0002-7789-7787,RTX (United States),industry,US,Interfacial Thermal Transport in Top-Side Diamond Integrated AlGaN/GaN High Electron Mobility Transistors,2025,https://doi.org/10.1021/acsami.5c13149,ACS Applied Materials & Interfaces,middle,diamond heat spreader,3,1,72
Zifeng Huang,0009-0005-7397-9963,Integrated Optoelectronics (Norway),industry,NO,Direct Integration of Polycrystalline Diamond With 3C‐SiC for Enhanced Thermal Management in GaN HEMTs: Impact of Grain Structure and Interface Engineering,2025,https://doi.org/10.1002/admt.202500437,Advanced Materials Technologies,middle,GaN diamond thermal,3,1,72
Alessandro Sitta,0000-0003-2394-0882,STMicroelectronics (Italy),industry,IT,Effects of the pin-fins cooler roughness on the thermo-fluid dynamics performance of a SiC power module,2024,https://doi.org/10.1016/j.ijft.2024.100609,International Journal of Thermofluids,last,power module baseplate thermal,1,1,68
Cameron Nelson,,Amkor Technology (United States),industry,US,Thermal Management Implications for Heterogeneous Integrated Packaging,2024,https://doi.org/10.4071/001c.116637,IMAPSource Proceedings,first,chiplet package thermal,1,1,68
Choon Heung Lee,,Jiangsu Changjiang Electronics Technology (China),industry,CN,Study on the Manufacturability of X Dimension Fan Out Integration Package with Organic RDLs (XDFOI-O),2024,https://doi.org/10.4071/001c.115496,Journal of Microelectronics and Electronic Packaging,last,chiplet package thermal,1,1,68
Collin Hitchcock,,GE Global Research (United States),industry,US,SiC Power Module Packaging Using Printed Electronics Materials and Processes,2024,https://doi.org/10.1109/tcpmt.2024.3453209,IEEE Transactions on Components Packaging and Manufacturing Technology,last,wide bandgap power device packaging,1,1,68
Doug Hackler,,American Semiconductor (United States),industry,US,WLCSP Fully Protected Fan-In Reliability,2024,https://doi.org/10.4071/001c.94513,IMAPSource Proceedings,first,chiplet package thermal,1,1,68
Ed Prack,,American Semiconductor (United States),industry,US,WLCSP Fully Protected Fan-In Reliability,2024,https://doi.org/10.4071/001c.94513,IMAPSource Proceedings,last,chiplet package thermal,1,1,68
Elke Kraker,0000-0001-7734-5603,Materials Center Leoben (Austria),industry,AT,Correlation of heat transport mechanism and structural properties of GaN high electron mobility transistors,2024,https://doi.org/10.1063/5.0207513,Journal of Applied Physics,last,thermal boundary resistance GaN,1,1,68
Eric Ouyang,,Jiangsu Changjiang Electronics Technology (China),industry,CN,Power Envelope Analyses of Chiplet Module and System-on-Chip,2024,https://doi.org/10.4071/001c.94297,IMAPSource Proceedings,first,chiplet package thermal,1,1,68
G. Trovato,0009-0003-0164-537X,"STLab srl, Via Anapo 53, 95126 Catania, Italy",industry,,SiC free-standing membrane for X-ray intensity monitoring in synchrotron radiation beamlines,2024,https://doi.org/10.1107/s1600577524010646,Journal of Synchrotron Radiation,first,diamond thermal conductivity substrate,1,1,68
Gregory N. Nielson,0000-0003-2700-6632,"Nielson Scientific, Lehi, UT, 84043, USA",industry,,"Fabrication of high aspect ratio, non-line-of-sight vias in silicon carbide by a two-photon absorption method",2024,https://doi.org/10.1038/s41598-024-52672-6,Scientific Reports,last,chiplet package thermal,1,1,68
Guocheng LÜ,,Chery Automobile (China),industry,CN,Reliability evaluation of IGBT power module on electric vehicle using big data,2024,https://doi.org/10.1088/1674-4926/45/5/052301,Journal of Semiconductors,last,IGBT module thermal fatigue,1,1,68
Haijie Chen,0000-0003-4838-3816,Jiangsu Changjiang Electronics Technology (China),industry,CN,Study on the Manufacturability of X Dimension Fan Out Integration Package with Organic RDLs (XDFOI-O),2024,https://doi.org/10.4071/001c.115496,Journal of Microelectronics and Electronic Packaging,first,chiplet package thermal,1,1,68
